epoch,Training Loss,Valid. Loss,Training Accur.,Valid. Accur.,Training Time,Validation Time
1,0.5049002891715197,0.4279526351614201,0.7829449961802902,0.8338055041628122,0:00:32,0:00:02
2,0.3272018192764272,0.45626076992521897,0.8667160045836516,0.8065448658649398,0:00:32,0:00:02
3,0.22381679538418264,0.532641256426243,0.9133403361344538,0.8310013876040703,0:00:33,0:00:02
4,0.14208404205859027,0.7039453228737446,0.9508451107715814,0.8247571692876966,0:00:32,0:00:02
5,0.10282419598038821,0.7670416416639977,0.964572192513369,0.8324757169287696,0:00:32,0:00:02
6,0.08180804303623138,1.0103622123282006,0.9770817417876242,0.8240922756706753,0:00:32,0:00:02
7,0.07572605418798359,1.2892469009186358,0.9791109625668449,0.8121241905642924,0:00:32,0:00:02
8,0.057192412967031654,1.1270914470895808,0.9857715813598167,0.8218374190564292,0:00:32,0:00:02
9,0.04747378495447138,1.319187155429353,0.9886363636363636,0.8082793709528214,0:00:32,0:00:02
10,0.054968930536228665,1.2287665890886428,0.9878008021390374,0.8151884828862165,0:00:32,0:00:02
11,0.03501914807562318,1.3441719279644337,0.9904745989304813,0.8201029139685477,0:00:32,0:00:02
12,0.03591837957102985,1.3001259286352929,0.9917876241405653,0.8175878815911194,0:00:32,0:00:02
13,0.02667872444921071,1.503777746190416,0.9939839572192514,0.8173277058279371,0:00:32,0:00:02
14,0.029635984049272663,1.4870591258749049,0.9938168449197861,0.8227624884366328,0:00:32,0:00:02
15,0.028507662448972303,1.4606497928183129,0.994294308632544,0.8069495837187789,0:00:32,0:00:02
