epoch,Training Loss,Valid. Loss,Training Accur.,Valid. Accur.,Training Time,Validation Time
1,0.058827410208435786,0.08079913705587387,0.9874355670103093,0.98625,0:00:17,0:00:01
2,0.032595910562037915,0.06951651215553284,0.9932345360824743,0.98625,0:00:16,0:00:01
3,0.01285819259196755,0.07141208946704865,0.9967783505154639,0.99,0:00:17,0:00:01
4,0.007850757855249895,0.07684074878692627,0.998389175257732,0.99,0:00:16,0:00:01
5,0.00878879062292981,0.08108814656734467,0.998389175257732,0.99,0:00:16,0:00:01
6,0.00010310770925308443,0.10911761820316315,1.0,0.98625,0:00:16,0:00:01
7,0.0060621810942618525,0.10072382092475891,0.9987113402061856,0.9875,0:00:16,0:00:01
8,0.0030343739642385396,0.12073867976665496,0.9990335051546392,0.98625,0:00:16,0:00:01
9,0.008719982130003832,0.09211591839790344,0.9987113402061856,0.9875,0:00:16,0:00:01
10,0.008593999417779245,0.09445571184158325,0.9987113402061856,0.98625,0:00:16,0:00:01
11,0.003236541489949906,0.09145997792482376,0.9993556701030928,0.98875,0:00:17,0:00:01
12,0.004484500006302116,0.0837928095459938,0.9990335051546392,0.98625,0:00:16,0:00:01
13,0.0019471918184695148,0.09103303760290146,0.9996778350515464,0.98625,0:00:17,0:00:01
14,0.007186860552764367,0.07819501519203186,0.998389175257732,0.98875,0:00:17,0:00:01
15,0.012607486653577485,0.06645729422569274,0.9974226804123711,0.99,0:00:17,0:00:01
