epoch,Training Loss,Valid. Loss,Training Accur.,Valid. Accur.,Training Time,Validation Time
1,0.6452320450767476,0.6025640406507127,0.6284138655462185,0.6867483811285846,0:00:11,0:00:02
2,0.6306661958681709,0.5809879860979446,0.6470826967150497,0.7027058279370952,0:00:11,0:00:02
3,0.6127744952943873,0.5651245966870734,0.6583985867074102,0.7117541628122109,0:00:11,0:00:02
4,0.6061295280482042,0.563928411996111,0.6668258212375859,0.7011158649398705,0:00:11,0:00:02
5,0.601420140840153,0.5518747181334394,0.6708842627960275,0.7162638760407031,0:00:11,0:00:02
6,0.5921778836671043,0.5452713173754672,0.6789533995416348,0.728636679000925,0:00:11,0:00:02
7,0.5924036829548086,0.5428707187480115,0.6765422077922079,0.7308915356151712,0:00:11,0:00:02
8,0.5889247794521046,0.5401621188255067,0.6736774255156608,0.7339558279370952,0:00:11,0:00:02
9,0.5747411251068115,0.5375723483714652,0.6943754774637128,0.7342160037002776,0:00:11,0:00:02
10,0.5766298079235669,0.537451390890365,0.6931579449961803,0.7339558279370952,0:00:11,0:00:02
11,0.5803340681415191,0.5351099581160443,0.6840145148968678,0.7366154024051803,0:00:11,0:00:02
12,0.5741677567920583,0.5324273642073286,0.6983384262796027,0.7370201202590194,0:00:11,0:00:02
13,0.5855827422384272,0.5324862333054238,0.6876671122994652,0.7390148011100833,0:00:11,0:00:02
14,0.581942700287875,0.5345102745167752,0.6846829640947287,0.7334354764107309,0:00:11,0:00:02
15,0.5746236118403348,0.5323954757223738,0.6896724598930482,0.7399398704902868,0:00:11,0:00:02
