epoch,Training Loss,Valid. Loss,Training Accur.,Valid. Accur.,Training Time,Validation Time
1,0.6710120759059474,0.6274907994270325,0.6128221649484537,0.66125,0:00:16,0:00:04
2,0.6423411326310069,0.6006648397445679,0.6480670103092783,0.67,0:00:15,0:00:04
3,0.6199395168073398,0.582371643781662,0.6673969072164948,0.6775,0:00:15,0:00:04
4,0.6143498267095113,0.5692054748535156,0.6623711340206185,0.685,0:00:16,0:00:04
5,0.6028217243165085,0.5558827340602874,0.6737113402061855,0.7075,0:00:15,0:00:04
6,0.5896621957882163,0.5406922233104706,0.6826675257731959,0.73,0:00:16,0:00:04
7,0.5950676678996725,0.5302414333820343,0.6831829896907217,0.7375,0:00:16,0:00:04
8,0.581093057221973,0.5237776780128479,0.6894974226804124,0.73375,0:00:15,0:00:04
9,0.5835986988446147,0.5210425901412964,0.6978737113402061,0.7375,0:00:15,0:00:04
10,0.5741751839205161,0.5132747912406921,0.6947809278350515,0.74125,0:00:15,0:00:04
11,0.5693294977404407,0.5018374919891357,0.708118556701031,0.76375,0:00:16,0:00:04
12,0.5686876905947617,0.4937403792142868,0.696520618556701,0.76125,0:00:15,0:00:04
13,0.5675534624414346,0.49349319577217104,0.7060567010309278,0.7725,0:00:15,0:00:04
14,0.5631502412029148,0.48450812697410583,0.7118556701030928,0.7725,0:00:15,0:00:04
15,0.5515800244414929,0.485866357088089,0.7158505154639175,0.7625,0:00:15,0:00:04
