epoch,Training Loss,Valid. Loss,Training Accur.,Valid. Accur.,Training Time,Validation Time
1,0.6199020072419376,0.4799014837183851,0.693635408708938,0.7537580943570767,0:00:22,0:00:05
2,0.5379955588496305,0.5331966769188008,0.7417637509549274,0.737945189639223,0:00:22,0:00:05
3,0.5091397472243896,0.4666307124685734,0.7595015278838809,0.7780700740055504,0:00:22,0:00:05
4,0.5101469591020901,0.454762062493791,0.759883498854087,0.7795444033302499,0:00:22,0:00:05
5,0.4922958785359235,0.4650716667479657,0.7685255920550038,0.782203977798335,0:00:22,0:00:05
6,0.4897453663820889,0.45274277760627424,0.7743506493506492,0.7823485198889917,0:00:22,0:00:05
7,0.4892581427161069,0.44450792733659134,0.770912910618793,0.7817992599444958,0:00:22,0:00:05
8,0.4828696466862837,0.44850725315986795,0.7763559969442322,0.7803538390379279,0:00:22,0:00:05
9,0.4585574464523856,0.46330899190395436,0.7861440030557678,0.7734158186864014,0:00:22,0:00:05
10,0.45809847690204886,0.4485930984324597,0.7898682200152788,0.7883036540240519,0:00:22,0:00:05
11,0.45926324760212617,0.45692375872997526,0.7843773873185638,0.7763644773358002,0:00:22,0:00:05
12,0.448101452088611,0.4717755482551899,0.7936163101604278,0.7803249306197966,0:00:22,0:00:05
13,0.4269771464368239,0.44467761098070346,0.8037146676852559,0.7900381591119333,0:00:22,0:00:05
14,0.42734146771583964,0.4456452422953667,0.8024971352177234,0.7794287696577243,0:00:22,0:00:05
15,0.4132537263281205,0.4425157625624474,0.8125238731856379,0.7853839037927844,0:00:22,0:00:05
