epoch,Training Loss,Valid. Loss,Training Accur.,Valid. Accur.,Training Time,Validation Time
1,0.5252492713099495,0.38547527726660386,0.7500238731856379,0.8324757169287696,0:01:30,0:00:07
2,0.38463071618169387,0.5252364984852202,0.8358002291825821,0.823022664199815,0:01:30,0:00:07
3,0.28751007766328396,0.4827730490806255,0.886650114591291,0.8227624884366328,0:01:31,0:00:07
4,0.21144480811541572,0.5223487734477571,0.9272345301757067,0.8214327012025903,0:01:31,0:00:07
5,0.14995683694786247,0.7971267370467491,0.9565269289533996,0.8090598982423682,0:01:31,0:00:07
6,0.13429675304037045,0.7998794247495368,0.9613731856378915,0.8141188714153562,0:01:31,0:00:07
7,0.08104776705112209,0.7430440593273082,0.9776069518716578,0.8250173450508789,0:01:31,0:00:07
8,0.07755948862255138,0.9695309115217087,0.9842914438502673,0.8367252543940796,0:01:30,0:00:07
9,0.055277570043715404,1.0458980183652107,0.9889705882352942,0.8271565679925994,0:01:30,0:00:07
10,0.05691223829750589,1.1741765496578622,0.9871323529411765,0.8141188714153562,0:01:30,0:00:07
11,0.05576040593030698,1.029757854152233,0.9878008021390374,0.8327358926919519,0:01:30,0:00:07
12,0.04848596839206841,1.3677944832659783,0.9899732620320856,0.820767807585569,0:01:30,0:00:07
13,0.030481291550428252,1.1506886501261528,0.9938168449197861,0.8300763182238668,0:01:30,0:00:07
14,0.04017070841316861,1.1959877236092344,0.9926470588235294,0.8270120259019427,0:01:30,0:00:07
15,0.02473541743117061,1.4012860300693106,0.9947717723453017,0.8254220629047179,0:01:30,0:00:07
