epoch,Training Loss,Valid. Loss,Training Accur.,Valid. Accur.,Training Time,Validation Time
1,0.3974908569866081,0.11423217892646789,0.8485824742268041,0.955,0:00:17,0:00:01
2,0.15558675435592526,0.09250612914562226,0.9516752577319587,0.96375,0:00:17,0:00:01
3,0.08252720708344324,0.16033391326665877,0.9800257731958762,0.94875,0:00:17,0:00:01
4,0.04874083433557091,0.18758290410041809,0.9864690721649485,0.96,0:00:17,0:00:01
5,0.030648251461374006,0.30015894263982773,0.9922680412371134,0.95,0:00:17,0:00:01
6,0.030242677571578433,0.2367676803469658,0.9929123711340206,0.95875,0:00:17,0:00:01
7,0.02375454492488943,0.19392225325107573,0.9954896907216495,0.9625,0:00:17,0:00:01
8,0.016585147780301433,0.2645133239030838,0.9971005154639175,0.955,0:00:17,0:00:01
9,0.006854534763650796,0.3173548910021782,0.9987113402061856,0.95625,0:00:17,0:00:01
10,0.015378733271176052,0.2927576094865799,0.9974226804123711,0.95375,0:00:17,0:00:01
11,0.013027308282148953,0.2535040187835693,0.9971005154639175,0.965,0:00:17,0:00:01
12,0.005925577602443134,0.24328450500965118,0.9990335051546392,0.96,0:00:17,0:00:01
13,0.0118510892096254,0.2503457883000374,0.9977448453608248,0.96125,0:00:17,0:00:01
14,0.004455522255814207,0.27723993062973024,0.9993556701030928,0.95875,0:00:17,0:00:01
15,0.013386099885426973,0.3425871443748474,0.9977448453608248,0.955,0:00:17,0:00:01
