epoch,Training Loss,Valid. Loss,Training Accur.,Valid. Accur.,Training Time,Validation Time
1,0.3090416894668771,0.1414348216354847,0.8703608247422681,0.95875,0:00:38,0:00:03
2,0.10338027955311321,0.11152360323816538,0.96875,0.96625,0:00:37,0:00:03
3,0.040735382759540355,0.16648249581456184,0.990979381443299,0.96,0:00:37,0:00:03
4,0.010651589396167258,0.2534851560741663,0.9964561855670103,0.96125,0:00:37,0:00:03
5,0.012709171808872027,0.2914216764271259,0.9977448453608248,0.9525,0:00:37,0:00:03
6,0.012159925883698287,0.2400468238443136,0.9980670103092784,0.96375,0:00:37,0:00:03
7,0.007701390100263189,0.2490183013677597,0.998389175257732,0.96125,0:00:37,0:00:03
8,0.004363209489233715,0.2851452985405922,0.9993556701030928,0.96125,0:00:37,0:00:03
9,0.00022645968674998921,0.3469242671132088,1.0,0.955,0:00:37,0:00:03
10,0.009114675984239942,0.313028506077826,0.9980670103092784,0.96125,0:00:37,0:00:03
11,0.0016822621687190137,0.36994235187768937,0.9996778350515464,0.95375,0:00:37,0:00:03
12,2.949967519430409e-05,0.3739680789038539,1.0,0.95875,0:00:37,0:00:03
13,1.4157946576777193e-05,0.36235641095787285,1.0,0.96,0:00:37,0:00:03
14,1.0720187243144388e-05,0.34750829081982376,1.0,0.9625,0:00:37,0:00:03
15,0.0014192500602943836,0.49064927838742733,0.9996778350515464,0.95125,0:00:37,0:00:03
