epoch,Training Loss,Valid. Loss,Training Accur.,Valid. Accur.,Training Time,Validation Time
1,0.27261488650416593,0.12644397839903831,0.8898195876288659,0.94375,0:00:16,0:00:01
2,0.14497884633691654,0.14017674908041955,0.9536082474226805,0.94875,0:00:16,0:00:01
3,0.10111129151407591,0.13959783680737017,0.9742268041237113,0.96375,0:00:16,0:00:01
4,0.05429378601472786,0.14315236169844867,0.9858247422680413,0.96375,0:00:16,0:00:01
5,0.027803397462832304,0.21351925790309906,0.9938788659793815,0.9625,0:00:16,0:00:01
6,0.0252836421324113,0.21393935561180114,0.9938788659793815,0.96875,0:00:16,0:00:01
7,0.025823931104129123,0.3444294931739569,0.9938788659793815,0.9525,0:00:16,0:00:01
8,0.01717269688116485,0.24690460085868834,0.9967783505154639,0.96625,0:00:16,0:00:01
9,0.012033223921488824,0.2543512807786465,0.9974226804123711,0.965,0:00:16,0:00:01
10,0.015496448580098828,0.2688494197279215,0.9977448453608248,0.9625,0:00:16,0:00:01
11,0.015163652620010664,0.21975997576490044,0.9971005154639175,0.9675,0:00:16,0:00:01
12,0.016092127672942935,0.27987781923264266,0.9977448453608248,0.95875,0:00:16,0:00:01
13,0.011434180982721899,0.24972289748489856,0.9967783505154639,0.9675,0:00:16,0:00:01
14,0.018523197849624678,0.2554511646926403,0.9954896907216495,0.96125,0:00:16,0:00:01
15,0.019080234883525938,0.27646543093025683,0.9967783505154639,0.96375,0:00:16,0:00:01
