epoch,Training Loss,Valid. Loss,Training Accur.,Valid. Accur.,Training Time,Validation Time
1,0.43509420848147756,0.36952485524593515,0.803905653170359,0.8325913506012951,0:00:26,0:00:02
2,0.28254234611509954,0.3829875055779802,0.8901117265087853,0.8452243293246993,0:00:26,0:00:02
3,0.1604002108946841,0.5281823163336896,0.9461659663865547,0.8286019888991674,0:00:26,0:00:02
4,0.0854815020609428,0.7949180983482523,0.9754106187929718,0.8312615633672525,0:00:25,0:00:02
5,0.05249163624581527,0.9254328941411161,0.9871323529411765,0.823022664199815,0:00:25,0:00:02
6,0.04239212933250449,1.0141193321410646,0.9891138273491215,0.8236875578168362,0:00:26,0:00:02
7,0.03237049129696931,1.0703858057869242,0.9911430481283422,0.8279370952821461,0:00:26,0:00:02
8,0.03248657137753173,1.1552164358027437,0.9928141711229946,0.8292668825161886,0:00:25,0:00:02
9,0.021902200736025758,1.3396412799967097,0.9941271963330788,0.8170386216466236,0:00:25,0:00:02
10,0.024344306454102304,1.3195498985178926,0.9938168449197861,0.8239477335800185,0:00:25,0:00:02
11,0.016284894822121792,1.3176728353855458,0.9956550802139037,0.8194380203515265,0:00:25,0:00:02
12,0.014451396033304175,1.477027506270307,0.9968248663101604,0.8097247918593895,0:00:25,0:00:02
13,0.010657842588370646,1.3409965881641874,0.9978275401069518,0.8139743293246993,0:00:25,0:00:02
14,0.006682488282563172,1.5701073034012571,0.9979946524064172,0.8103896854764108,0:00:25,0:00:02
15,0.02158538494517474,1.3581219943279916,0.9959893048128342,0.8246126271970398,0:00:25,0:00:02
