epoch,Training Loss,Valid. Loss,Training Accur.,Valid. Accur.,Training Time,Validation Time
1,0.6392539782638855,0.591976596954021,0.6316844919786097,0.6860834875115633,0:00:08,0:00:02
2,0.5706789252911022,0.5529918182403484,0.7023491214667685,0.7222479185938946,0:00:08,0:00:02
3,0.5349494306480184,0.5252309980544638,0.7282754010695187,0.7464442645698427,0:00:08,0:00:02
4,0.5128392838539286,0.5055939897577814,0.7485914820473644,0.7670559666975023,0:00:08,0:00:02
5,0.4958175741096231,0.49708333738306737,0.7566367456073337,0.7625462534690102,0:00:08,0:00:02
6,0.48438673558082174,0.49183810518143023,0.7621275783040489,0.7657261794634598,0:00:08,0:00:02
7,0.47469249893637266,0.4809074211627879,0.7726079067990833,0.776509019426457,0:00:08,0:00:02
8,0.46551831919241715,0.47922875145648386,0.7771199388846448,0.7690506475485661,0:00:08,0:00:02
9,0.46234026328127653,0.4865125874255566,0.7762843773873186,0.7613320999074931,0:00:08,0:00:02
10,0.45824355205750084,0.4830889257978886,0.7761650114591291,0.7679810360777057,0:00:08,0:00:02
11,0.45516779413197767,0.47484820827524715,0.7833030939648588,0.7730400092506938,0:00:08,0:00:02
12,0.45098403988675,0.4699662353130097,0.7822288006111536,0.776104301572618,0:00:08,0:00:02
13,0.44896829949024525,0.4675705331437131,0.7871466768525592,0.7785037002775208,0:00:08,0:00:02
14,0.4449481120243429,0.475215604964723,0.7938789152024446,0.7706406105457909,0:00:08,0:00:02
15,0.43857332004264077,0.465929331931662,0.7950009549274256,0.7731845513413506,0:00:08,0:00:02
