epoch,Training Loss,Valid. Loss,Training Accur.,Valid. Accur.,Training Time,Validation Time
1,0.440507399764928,0.37888333772091154,0.8105901451489687,0.8251618871415356,0:00:26,0:00:02
2,0.3113002376282279,0.4127515646371436,0.8793449197860963,0.8194380203515265,0:00:26,0:00:02
3,0.220264487068124,0.42676588908789004,0.9210275019098548,0.8318108233117484,0:00:26,0:00:02
4,0.14838286030061423,0.6936355523289518,0.9471925133689839,0.8247571692876966,0:00:26,0:00:02
5,0.09993876109925662,1.0263941097766796,0.9660523300229183,0.8194380203515265,0:00:26,0:00:02
6,0.0783127252620092,1.3234089874523751,0.9799465240641712,0.8190333024976874,0:00:26,0:00:02
7,0.06563606765619255,1.916532556427286,0.9854373567608862,0.8181082331174838,0:00:26,0:00:02
8,0.06482471468893283,1.9913285970687866,0.9867742551566081,0.821577243293247,0:00:25,0:00:02
9,0.044153017428048856,2.120218259222964,0.9896390374331551,0.8203630897317299,0:00:25,0:00:02
10,0.0423519010879697,1.9750458217681723,0.9908088235294118,0.8150439407955596,0:00:25,0:00:02
11,0.04729056677288926,1.8319721019014399,0.9898061497326203,0.8295559666975023,0:00:26,0:00:02
12,0.044137928030121495,1.916136552678778,0.9904745989304813,0.8211725254394079,0:00:25,0:00:02
13,0.03183871397579258,1.8598818525354912,0.9939600840336135,0.8198427382053654,0:00:25,0:00:02
14,0.0305111845394965,1.9244268257567223,0.9931483957219251,0.8211725254394079,0:00:25,0:00:02
15,0.03450451959479518,2.0256427944974695,0.9936497326203209,0.8191778445883441,0:00:25,0:00:02
