epoch,Training Loss,Valid. Loss,Training Accur.,Valid. Accur.,Training Time,Validation Time
1,0.4369702434794788,0.4611895683598011,0.8038101604278075,0.8056197964847364,0:00:25,0:00:02
2,0.32355653347178576,0.40560890258626736,0.868411000763942,0.8331406105457909,0:00:25,0:00:02
3,0.22635371449159428,0.42610069094820224,0.9155127960275019,0.8453688714153562,0:00:25,0:00:02
4,0.16534897121277084,0.670797217399516,0.9436115355233002,0.8175878815911194,0:00:25,0:00:02
5,0.1269199674162157,0.6167224265159444,0.9598691749427044,0.8291512488436632,0:00:25,0:00:02
6,0.09606387152929198,0.9622857941591993,0.9715670359052713,0.8307412118408881,0:00:25,0:00:02
7,0.07382517073921023,1.1384001057198707,0.9814027883880825,0.8229070305272895,0:00:25,0:00:02
8,0.057590942506125585,1.1137432494062058,0.9856044690603515,0.8334007863089732,0:00:25,0:00:02
9,0.0455480975218436,1.0910191041357973,0.9881350267379679,0.8244969935245143,0:00:25,0:00:02
10,0.037575916466826106,1.2016322156216235,0.9911191749427044,0.8181082331174838,0:00:25,0:00:02
