epoch,Training Loss,Valid. Loss,Training Accur.,Valid. Accur.,Training Time,Validation Time
1,0.45591040099049635,0.39543074654771926,0.7917064553093964,0.820767807585569,0:00:23,0:00:02
2,0.33233030363518923,0.4033336664767975,0.8597689075630253,0.8355400092506938,0:00:23,0:00:02
3,0.22840594460460592,0.4209840732051971,0.9155605423987776,0.8307412118408881,0:00:23,0:00:02
4,0.14679917186140057,0.5100050479807752,0.9502005347593583,0.8242368177613321,0:00:23,0:00:02
5,0.10527131755532508,0.7559245799450164,0.9655748663101604,0.8298161424606845,0:00:23,0:00:02
6,0.07884386074754166,0.8807360300833874,0.9750525210084033,0.8258267807585569,0:00:23,0:00:02
7,0.06410072567588825,1.1063332094791087,0.9829306722689076,0.8267518501387605,0:00:23,0:00:02
8,0.05547298051377654,1.1907477537368207,0.9871323529411765,0.8304810360777057,0:00:23,0:00:02
9,0.04258433044474089,1.2221813075085903,0.9893048128342246,0.8191778445883441,0:00:23,0:00:02
10,0.050385157591194836,1.2627515310936785,0.9896390374331551,0.8282261794634598,0:00:23,0:00:02
11,0.02987960659856251,1.4389110581671938,0.9933155080213903,0.8225023126734504,0:00:23,0:00:02
12,0.02887989430723184,1.4918346544529528,0.9937929717341483,0.8307412118408881,0:00:23,0:00:02
13,0.023435124893359003,1.417241964568483,0.9949627578304049,0.8251618871415356,0:00:23,0:00:02
14,0.0187158007629964,1.384072705786279,0.9959893048128342,0.8298161424606845,0:00:23,0:00:02
15,0.027655623350192837,1.440542959152384,0.9937929717341483,0.8251618871415356,0:00:23,0:00:02
