epoch,Training Loss,Valid. Loss,Training Accur.,Valid. Accur.,Training Time,Validation Time
1,0.4267042413114864,0.37679679501563945,0.8048844537815126,0.8433741905642924,0:00:26,0:00:02
2,0.3075573936025089,0.3634733992054107,0.8713235294117647,0.8469588344125809,0:00:26,0:00:02
3,0.2198360536426784,0.46900957632572093,0.9149875859434684,0.8458892229417205,0:00:26,0:00:02
4,0.14415447690827962,0.6040978637781549,0.9536144003055768,0.8383152173913043,0:00:26,0:00:02
5,0.10628702937759818,0.7056881842461038,0.9642379679144385,0.8383152173913043,0:00:26,0:00:02
6,0.0881007173980143,0.894585150353452,0.9744079449961803,0.8359158186864014,0:00:26,0:00:02
7,0.07246894542785252,0.9951121147642744,0.9794451871657754,0.830336493987049,0:00:26,0:00:02
8,0.05688189662853505,1.1476565092167956,0.985270244461421,0.8334007863089732,0:00:26,0:00:02
9,0.04266917333006859,1.0587210560098608,0.9899493888464477,0.8226179463459758,0:00:26,0:00:02
10,0.045226679247664534,1.2283864975609677,0.9888034759358288,0.825277520814061,0:00:26,0:00:02
