epoch,Training Loss,Valid. Loss,Training Accur.,Valid. Accur.,Training Time,Validation Time
1,0.39045712431484364,0.4097402996205269,0.8292828495034378,0.8256822386679001,0:00:26,0:00:02
2,0.28177902969048624,0.3927252841122607,0.8830930099312453,0.8319264569842738,0:00:26,0:00:02
3,0.19759796789902098,0.5832664013067459,0.922770244461421,0.8256822386679001,0:00:26,0:00:02
4,0.12070510909957363,0.6289937447043176,0.9564791825821237,0.8216928769657724,0:00:26,0:00:02
5,0.09854273975174375,1.023058569336191,0.970063025210084,0.8223577705827937,0:00:25,0:00:02
6,0.07234146712188494,1.1918338010919856,0.9824532085561497,0.8243524514338575,0:00:25,0:00:02
7,0.06860508109918512,1.2322813348567232,0.9842914438502673,0.825277520814061,0:00:25,0:00:02
8,0.063072868154688,0.9181740062033876,0.9866071428571429,0.8290067067530065,0:00:25,0:00:02
9,0.057284390251588,1.058082235303331,0.9874665775401069,0.8239477335800185,0:00:25,0:00:02
10,0.040385891275012235,1.257667570949552,0.9902836134453782,0.8174433395004626,0:00:25,0:00:02
11,0.04603640641021059,1.3695615816940652,0.9897822765469825,0.8205076318223866,0:00:25,0:00:02
12,0.04879729493077904,1.1066668366498136,0.9896390374331551,0.8250173450508789,0:00:25,0:00:02
13,0.03937666832324974,0.9715023505243849,0.9916205118411001,0.8243524514338575,0:00:25,0:00:02
14,0.02614079433517284,1.4171860357548327,0.9934826203208557,0.8130492599444958,0:00:25,0:00:02
15,0.027352865835163682,1.3980036660077724,0.9943181818181818,0.8177035152636448,0:00:26,0:00:02
